Song Title,Date,Language
Como la brisa,8/2/2015,Spanish
How Can It Be,8/2/2015,English
Love Like Fire,8/2/2015,Spanish
Eres El Camino,8/9/2015,Spanish
Nothing but the blood of Jesus,8/9/2015,Spanish
By His Wounds,8/9/2015,English
How Deep the Father's Love for Us,8/9/2015,English
Indomable,8/9/2015,Spanish
Jesus Paid It All,8/9/2015,English
Arise My Soul Arise,8/16/2015,English
Tis So Sweet To Trust In Jesus,8/16/2015,Both
Your Grace Is Enough,8/16/2015,Spanish
Indomable,8/16/2015,Spanish
Crown Him With Many Crowns,8/16/2015,Spanish
How Can It Be,8/16/2015,English
"10,000 Reasons",8/23/2015,English
Oceans,8/23/2015,Spanish
You'll Come,8/23/2015,Spanish
On Jordan's Stormy Banks,8/23/2015,English
Show Us Christ,8/23/2015,English
Take My Life,8/23/2015,Both
Doxology,8/30/2015,Both
Eternamente Exaltado,8/30/2015,Spanish
Me Postro,8/30/2015,Spanish
Seek Ye First,8/30/2015,English
Soon,8/30/2015,English
In Christ Alone,8/30/2015,English
Lord I Need You,9/6/2015,English
A Mighty Fortress,9/6/2015,Both
El Dios Que Adoramos,9/6/2015,Spanish
Come Thou Fount,9/6/2015,English
Indomable,9/6/2015,Spanish
Because He Lives (Amen),9/6/2015,English
How Great is our God,9/13/2015,Both
"Holy, Holy, Holy",9/13/2015,Spanish
Majesty (Here I Am),9/13/2015,English
Reinas por la Eternidad,9/13/2015,Spanish
Famous One,9/13/2015,English
Spirit of the Living God,9/13/2015,Both
Maravilloso es el Gran Amor,9/20/2015,Spanish
Great Is Thy Faithfulness,9/20/2015,Both
Sovereign,9/20/2015,English
Holy Spirit,9/20/2015,English
Mighty to Save,9/20/2015,Spanish
At the Cross (Love Ran Red),9/20/2015,English
Sing to the King,9/27/2015,Both
Eres El Camino,9/27/2015,Spanish
Before the Throne,9/27/2015,English
Come as You Are,9/27/2015,English
Holy Spirit,9/27/2015,English
Conmigo Est‡s,9/27/2015,Spanish
Me Has Atraido Jesus,10/4/2015,Spanish
From the Inside Out,10/4/2015,Spanish
Amazing Grace,10/4/2015,English
God Be Merciful to Me,10/4/2015,English
Conmigo Est‡s,10/4/2015,Spanish
How Can It Be,10/4/2015,English
God Be Merciful to Me,10/11/2015,English
There Is Nothing,10/11/2015,English
Enamorame,10/11/2015,Spanish
Conmigo Est‡s,10/11/2015,Spanish
Rise,10/11/2015,English
Aumenta mi fe,10/11/2015,Spanish
Doxology,10/18/2015,Spanish
On Jordan's Stormy Banks,10/18/2015,English
Give Me Jesus,10/18/2015,Spanish
It Is Well,10/18/2015,Both
Dios Majestuoso,10/25/2015,Spanish
Our God,10/25/2015,Both
Lord I Need You,10/25/2015,English
House of God Forever,10/25/2015,English
Tengo Un Refugio,10/25/2015,Spanish
Came to My Rescue,10/25/2015,Both
Prince of Peace,11/1/2015,Spanish
Oh Moradora de Sion,11/1/2015,Spanish
Come as You Are,11/1/2015,English
Fellowship So Deep,11/1/2015,English
Oceans,11/1/2015,Spanish
To You Be The Glory,11/1/2015,English
King of Glory - Third Day,11/8/2015,English
All Creatures of Our God and King,11/8/2015,Both
Revelation Song,11/8/2015,Spanish
Pan de Vida,11/8/2015,Spanish
Sing to the King,11/8/2015,Both
On Jordan's Stormy Banks,11/8/2015,English
When I Think About the Lord,11/15/2015,English
Relentless,11/15/2015,Both
Love Like Fire,11/15/2015,Spanish
Lord I Need You,11/15/2015,English
Behold Our God,11/15/2015,Both
Reinas por la Eternidad,11/15/2015,Spanish
In Christ Alone,11/22/2015,English
A Mighty Fortress,11/22/2015,Both
Conmigo Est‡s,11/22/2015,Spanish
Enamorame,11/22/2015,Spanish
From the Inside Out,11/22/2015,Both
The Stand,11/22/2015,Both
Nothing but the blood of Jesus,11/29/2015,Both
Give Us Clean Hands,11/29/2015,English
None But Jesus,11/29/2015,Spanish
Es por Tu Gracia,11/29/2015,Spanish
By His Wounds,11/29/2015,English
I Surrender All,11/29/2015,Both
O Come O Come Emmanuel,12/6/2015,Spanish
Desert Song,12/6/2015,Spanish
Tis So Sweet To Trust In Jesus,12/6/2015,Both
Come Thou Long Expected Jesus,12/6/2015,English
By Faith,12/6/2015,English
Oceans,12/6/2015,Spanish
Come Thou Long Expected Jesus,12/13/2015,English
By Faith,12/13/2015,English
Joy to the World,12/13/2015,Both
I Heard the Bells on Christmas Day,12/13/2015,English
Suenen Dulces Himnos,12/13/2015,Spanish
O Come all Ye Faithful,12/13/2015,Both
Hark the Herald Angels Sing,12/20/2015,Both
Angels from the Realms of Glory,12/20/2015,English
O Come all Ye Faithful,12/20/2015,Both
Great I Am,12/20/2015,English
What Child is This,12/20/2015,Both
Joy to the World,12/20/2015,Both
Suenen Dulces Himnos,12/24/2015,Spanish
Angels We Have Heard on High,12/24/2015,Both
O Holy Night,12/24/2015,Both
Silent Night,12/24/2015,Both
Joy to the World,12/27/2015,Both
Angels We Have Heard on High,12/27/2015,Both
God Rest Ye Merry Gentlemen,12/27/2015,English
Come and Worship,12/27/2015,Both
Be Thou My Vision,12/27/2015,English
Go Tell It On The Mountain,12/27/2015,Spanish
Your Grace Is Enough,1/3/2016,Spanish
Great Is Thy Faithfulness,1/3/2016,Both
By Faith,1/3/2016,English
Me Postro,1/3/2016,Spanish
You Never Let Go,1/3/2016,English
Conmigo Est‡s,1/3/2016,Spanish
Behold Our God,1/10/2016,Spanish
Hosanna (Hillsong),1/10/2016,Both
Build Your Kingdom Here,1/10/2016,English
Mi Vida Es Cristo,1/10/2016,Spanish
All the People Said Amen,1/10/2016,English
Eres El Camino,1/10/2016,Spanish
"10,000 Reasons",1/17/2016,English
"Holy, Holy, Holy",1/17/2016,Spanish
I Surrender All,1/17/2016,Both
Take My Life,1/17/2016,Both
Be Thou My Vision,1/17/2016,English
Mi Vida Es Cristo,1/17/2016,Spanish
Behold Our God,1/24/2016,Spanish
Relentless,1/24/2016,Both
Sovereign,1/24/2016,English
By Faith,1/24/2016,English
Enamorame,1/24/2016,Spanish
Soon,1/24/2016,English
Me Postro,1/31/2016,Spanish
Jesus Paid It All,1/31/2016,English
How Can It Be,1/31/2016,English
Es por Tu Gracia,1/31/2016,Spanish
By His Wounds,1/31/2016,English
Conmigo Est‡s,1/31/2016,Spanish
Reinas por la Eternidad,2/7/2016,Spanish
God of This city,2/7/2016,English
Indomable,2/7/2016,Spanish
Because He Lives (Amen),2/7/2016,English
Hosanna (Hillsong),2/7/2016,Both
Build Your Kingdom Here,2/7/2016,English
Behold Our God,2/14/2016,Spanish
He is Exalted,2/14/2016,Both
Lord I Need You,2/14/2016,English
Your Grace Is Enough,2/14/2016,Spanish
God of This city,2/14/2016,English
Eres El Camino,2/14/2016,Spanish
A Mighty Fortress,2/21/2016,Both
None But Jesus,2/21/2016,Spanish
Desert Song,2/21/2016,Spanish
Because He Lives (Amen),2/21/2016,English
Nothing but the blood of Jesus,2/21/2016,Both
By Faith,2/21/2016,English
Doxology,2/28/2016,Both
In Christ Alone,2/28/2016,English
Hosanna (Hillsong),2/28/2016,Both
Me Postro,2/28/2016,Spanish
At the Cross (Love Ran Red),2/28/2016,English
Reinas por la Eternidad,2/28/2016,Spanish
El Dios Que Adoramos,3/6/2016,Spanish
He Reigns,3/6/2016,English
Hosanna (Hillsong),3/6/2016,Both
Worthy is the Lamb,3/6/2016,Spanish
Psalm 23 (Surely Goodness Surely Mercy),3/6/2016,English
Build Your Kingdom Here,3/6/2016,English
A Mighty Fortress,3/13/2016,Both
Great I Am,3/13/2016,Both
Psalm 23 (Surely Goodness Surely Mercy),3/13/2016,English
Aumenta mi fe,3/13/2016,Spanish
Conmigo Est‡s,3/13/2016,Spanish
Give Me Jesus,3/13/2016,Spanish
Dios Majestuoso,3/20/2016,Spanish
Eres El Camino,3/20/2016,Spanish
Praise the King,3/20/2016,English
God of This city,3/20/2016,English
Show Us Christ,3/20/2016,English
The Stand,3/20/2016,Spanish
"10,000 Reasons",3/24/2016,English
"Holy, Holy, Holy",3/24/2016,Both
Indescribable,3/24/2016,Both
From the Inside Out,3/24/2016,Spanish
When I Survey the Wondrous Cross,3/25/2016,English
Lead Me To The Cross,3/25/2016,Spanish
How Deep the Father's Love for Us,3/25/2016,English
Eternamente Exaltado,3/25/2016,Spanish
Beautiful,3/25/2016,English
Gracia Sublime Es,3/25/2016,Spanish
Praise the King,3/27/2016,English
Revelation Song,3/27/2016,Spanish
Jesus Messiah,3/27/2016,Spanish
Es por Tu Gracia,3/27/2016,Spanish
Because He Lives (Amen),3/27/2016,English
Gracia Sublime Es,4/3/2016,Spanish
Before the Throne,4/3/2016,English
Mi Jesus Mi Amado,4/3/2016,Spanish
Psalm 23 (Surely Goodness Surely Mercy),4/3/2016,English
Holy Spirit,4/3/2016,English
Reinas por la Eternidad,4/3/2016,Spanish
Did You Feel the Mountains Tremble,4/10/2016,English
Hosanna (Hillsong),4/10/2016,Both
Dios Majestuoso,4/10/2016,Spanish
Be Thou My Vision,4/10/2016,English
Gracia Sublime Es,4/10/2016,Spanish
By Faith,4/10/2016,English
Yahweh,4/17/2016,English
Behold Our God,4/17/2016,Spanish
Me Postro,4/17/2016,Spanish
Lord I Need You,4/17/2016,English
God is Able,4/17/2016,Spanish
Praise the King,4/17/2016,English
A Mighty Fortress,4/24/2016,Both
Indomable,4/24/2016,Spanish
Love Like Fire,4/24/2016,Spanish
Jesus Paid It All,4/24/2016,English
Gracia Sublime Es,4/24/2016,Spanish
By Faith,4/24/2016,English
God is Able,5/1/2016,Spanish
Conmigo Est‡s,5/1/2016,Spanish
I Surrender All,5/1/2016,Both
Yahweh,5/1/2016,English
Death Was Arrested,5/1/2016,English
At the Cross (Love Ran Red),5/1/2016,English
Beautiful,5/8/2016,English
Great I Am,5/8/2016,Both
Worthy is the Lamb,5/8/2016,Both
From the Inside Out,5/8/2016,Spanish
Enamorame,5/8/2016,Spanish
Death Was Arrested,5/8/2016,English
When I Think About the Lord,5/15/2016,English
Mi Vida Es Cristo,5/15/2016,Spanish
Tengo Un Refugio,5/15/2016,Spanish
Psalm 23 (Surely Goodness Surely Mercy),5/15/2016,English
On Fire,5/15/2016,English
Give Me Jesus,5/15/2016,Spanish
Behold Our God,5/22/2016,Spanish
In Christ Alone,5/22/2016,English
How Deep the Father's Love for Us,5/22/2016,English
Jesus Messiah,5/22/2016,Spanish
From the Inside Out,5/22/2016,Spanish
Oceans,5/22/2016,English
Days of Elijah,5/29/2016,Both
A Mighty Fortress,5/29/2016,Both
Your Grace Is Enough,5/29/2016,Spanish
Tengo Un Refugio,5/29/2016,Spanish
Death Was Arrested,5/29/2016,English
Nothing but the blood of Jesus,5/29/2016,Both
Because He Lives (Amen),6/5/2016,English
Eres El Camino,6/5/2016,Spanish
Reinas por la Eternidad,6/5/2016,Spanish
Love Like Fire,6/5/2016,Spanish
Oceans,6/5/2016,English
By Faith,6/5/2016,English
Gracia Sublime Es,6/12/2016,Spanish
Relentless,6/12/2016,Both
Come as You Are,6/12/2016,English
Love Like Fire,6/12/2016,Spanish
Praise the King,6/12/2016,English
Aumenta mi fe,6/12/2016,Spanish
Forever,6/19/2016,Both
Whom Shall I Fear?,6/19/2016,English
How Can It Be,6/19/2016,English
Tengo Un Refugio,6/19/2016,Spanish
Enamorame,6/19/2016,English
Take My Life,6/19/2016,Both
Mi Vida Es Cristo,6/26/2016,Spanish
Great Is Thy Faithfulness,6/26/2016,Both
Oceans,6/26/2016,English
Worthy is the Lamb,6/26/2016,Spanish
Dame Tus ojos,6/26/2016,Spanish
Your Grace Is Enough,6/26/2016,Spanish
Because He Lives (Amen),7/3/2016,English
How Great is our God,7/3/2016,Both
Me Postro,7/3/2016,Spanish
Sumergeme,7/3/2016,Spanish
Liberty,7/3/2016,English
Conmigo Est‡s,7/3/2016,Spanish
God is Able,7/10/2016,Spanish
Great I Am,7/10/2016,Both
Good Good Father,7/10/2016,English
Sovereign,7/10/2016,English
Eternamente Exaltado,7/10/2016,Spanish
Holy Spirit,7/10/2016,English
Eres El Camino,7/17/2016,Spanish
Days of Elijah,7/17/2016,Both
Whom Shall I Fear?,7/17/2016,English
Good Good Father,7/17/2016,Both
Lead Me To The Cross,7/17/2016,Spanish
Hear the Call of the Kingdom,7/17/2016,English
All Creatures of Our God and King,7/24/2016,Spanish
In Christ Alone,7/24/2016,English
A Mighty Fortress,7/24/2016,Both
Tengo Un Refugio,7/24/2016,Spanish
Psalm 23 (Surely Goodness Surely Mercy),7/24/2016,English
"10,000 Reasons",7/24/2016,English
El Dios Que Adoramos,7/31/2016,Spanish
Indomable,7/31/2016,Spanish
Love Like Fire,7/31/2016,Spanish
Praise the King,7/31/2016,English
Good Good Father,7/31/2016,English
Gracia Sublime Es,7/31/2016,Spanish
Praise to the Lord Almighty,8/7/2016,English
At the Cross (Love Ran Red),8/7/2016,English
Amazing Grace,8/7/2016,Spanish
Dame Tus ojos,8/7/2016,Spanish
Crown Him With Many Crowns,8/7/2016,Spanish
Death Was Arrested,8/7/2016,English
Prince of Peace,8/14/2016,Spanish
Desert Song,8/14/2016,Spanish
Good Good Father,8/14/2016,English
Oceans,8/14/2016,Spanish
Hear the Call of the Kingdom,8/14/2016,English
Death Was Arrested,8/14/2016,English
O Worship the King,8/21/2016,Both
Eternamente Exaltado,8/21/2016,Spanish
Before the Throne,8/21/2016,English
Psalm 23 (Surely Goodness Surely Mercy),8/21/2016,English
How Great Thou Art,8/21/2016,Both
Sing to the King,8/21/2016,Spanish
Behold Our God,8/28/2016,Spanish
Psalm 46 (Lord of Hosts),8/28/2016,English
Hosanna (Hillsong),8/28/2016,Both
Me Postro,8/28/2016,Spanish
God of This city,8/28/2016,English
On Jordan's Stormy Banks,8/28/2016,English
Crown Him With Many Crowns,9/4/2016,Spanish
Reinas por la Eternidad,9/4/2016,Spanish
Psalm 46 (Lord of Hosts),9/4/2016,English
Give Me Jesus,9/4/2016,Spanish
"Holy, Holy, Holy",9/4/2016,Spanish
Good Good Father,9/4/2016,English
El Dios Que Adoramos,9/11/2016,Spanish
How Great is our God,9/11/2016,Both
Come as You Are,9/11/2016,English
Mi Jesus Mi Amado,9/11/2016,Spanish
Forever,9/11/2016,Both
Yahweh,9/11/2016,English
Psalm 46 (Lord of Hosts),9/18/2016,English
Death Was Arrested,9/18/2016,English
It Is Well,9/18/2016,Spanish
Great Is Thy Faithfulness,9/18/2016,Both
"Man of Sorrows (Hallelujah, What a Savior)",9/18/2016,Both
Came to My Rescue,9/18/2016,Spanish
Holy Spirit,9/25/2016,English
Revelation Song,9/25/2016,Spanish
Eternamente Exaltado,9/25/2016,Spanish
Conmigo Est‡s,9/25/2016,Spanish
Build Your Kingdom Here,9/25/2016,English
Days of Elijah,9/25/2016,Both
Gracia Sublime Es,10/2/2016,Spanish
Hosanna (Hillsong),10/2/2016,Both
There Is Nothing,10/2/2016,English
"Man of Sorrows (Hallelujah, What a Savior)",10/2/2016,Both
Show Us Christ,10/2/2016,Both
By Faith,10/2/2016,English
Indescribable,10/9/2016,Both
Aumenta mi fe,10/9/2016,Spanish
Holy Spirit,10/9/2016,English
I Surrender All,10/9/2016,Both
Consolador,10/9/2016,Spanish
Praise to the Lord Almighty,10/9/2016,English
Sing for Joy,10/16/2016,Both
Eres El Camino,10/16/2016,Spanish
Consolador,10/16/2016,Spanish
Desert Song,10/16/2016,English
It Is Well,10/16/2016,Both
Psalm 130,10/16/2016,English
Doxology,10/23/2016,Both
A Mighty Fortress,10/23/2016,Both
Jesus Messiah,10/23/2016,Spanish
Because He Lives (Amen),10/23/2016,English
Eternamente Exaltado,10/23/2016,Spanish
God of This city,10/23/2016,English
In Christ Alone,10/30/2016,English
Psalm 46 (Lord of Hosts),10/30/2016,English
Behold Our God,10/30/2016,Spanish
Love Like Fire,10/30/2016,Spanish
Desert Song,10/30/2016,Spanish
Praise the King,10/30/2016,English
Mi Vida Es Cristo,11/6/2016,Spanish
"Holy, Holy, Holy",11/6/2016,Spanish
Praise to the Lord Almighty,11/6/2016,English
Consolador,11/6/2016,Spanish
Psalm 130,11/6/2016,English
El Dios Que Adoramos,11/6/2016,Spanish
All Creatures of Our God and King,11/13/2016,Both
Hosanna (Hillsong),11/13/2016,Both
Oceans,11/13/2016,English
Tengo Un Refugio,11/13/2016,Spanish
Me Postro,11/13/2016,Spanish
Build Your Kingdom Here,11/13/2016,English
"10,000 Reasons",11/20/2016,English
Prince of Peace,11/20/2016,Both
Revelation Song,11/20/2016,Spanish
Tis So Sweet To Trust In Jesus,11/20/2016,Both
Spirit of the Living God,11/20/2016,Both
Great Is Thy Faithfulness,11/20/2016,Both
Conmigo Est‡s,11/27/2016,Spanish
Tis So Sweet To Trust In Jesus,11/27/2016,Both
Psalm 23 (Surely Goodness Surely Mercy),11/27/2016,English
Psalm 130,11/27/2016,English
God is Able,11/27/2016,Spanish
You'll Come,11/27/2016,Spanish
O Come O Come Emmanuel,12/4/2016,Spanish
Angels We Have Heard on High,12/4/2016,Both
Come and Worship,12/4/2016,English
What Child is This,12/4/2016,Both
O Come all Ye Faithful,12/4/2016,Both
Joy to the World,12/4/2016,Both
O Come O Come Emmanuel,12/11/2016,Both
Suenen Dulces Himnos,12/11/2016,Spanish
Hark the Herald Angels Sing,12/11/2016,Both
O Holy Night,12/11/2016,Both
Come Thou Long Expected Jesus,12/11/2016,English
Angels We Have Heard on High,12/11/2016,Both
O Come all Ye Faithful,12/18/2016,Both
Angels from the Realms of Glory,12/18/2016,Both
"Ven a mi coraz—n, O Cristo",12/18/2016,Spanish
Mary Did You Know?,12/18/2016,English
It Came Upon the Midnight Clear,12/18/2016,Both
O Come O Come Emmanuel,12/18/2016,Both
Come and Worship,12/24/2016,Both
"Ven a mi coraz—n, O Cristo",12/24/2016,Spanish
O Holy Night,12/24/2016,Both
Silent Night,12/24/2016,Both
O Come O Come Emmanuel,12/25/2016,Both
All Creatures of Our God and King,12/25/2016,Both
O Holy Night,12/25/2016,Both
In Christ Alone,12/25/2016,English
Build Your Kingdom Here,1/1/2017,English
All Creatures of Our God and King,1/1/2017,Both
Me Postro,1/1/2017,Spanish
"Ven a mi coraz—n, O Cristo",1/1/2017,Spanish
Conmigo Est‡s,1/1/2017,Spanish
Dios Majestuoso,1/8/2017,Spanish
Dame Tus ojos,1/8/2017,Spanish
In Christ Alone,1/8/2017,English
Lord I Need You,1/8/2017,English
El Dios Que Adoramos,1/8/2017,Spanish
Good Good Father,1/8/2017,English
Holy Spirit,1/15/2017,English
Indomable,1/15/2017,Spanish
Eternamente Exaltado,1/15/2017,Spanish
Tengo Un Refugio,1/15/2017,Spanish
Psalm 46 (Lord of Hosts),1/15/2017,English
Love Like Fire,1/15/2017,Spanish
Desert Song,1/22/2017,Spanish
Gracia Sublime Es,1/22/2017,Spanish
How Deep the Father's Love for Us,1/22/2017,English
Revelation Song,1/22/2017,Spanish
Build Your Kingdom Here,1/22/2017,English
Hosanna (Hillsong),1/22/2017,Both
Great I Am,1/29/2017,Both
Lead Me To The Cross,1/29/2017,Spanish
How Deep the Father's Love for Us,1/29/2017,English
Before the Throne,1/29/2017,Both
"O Heart, Bereaved and Lonely",1/29/2017,English
El Dios Que Adoramos,1/29/2017,Spanish
Indescribable,2/5/2017,Both
There Is Nothing,2/5/2017,English
Conmigo Est‡s,2/5/2017,Spanish
Aumenta mi fe,2/5/2017,Spanish
Consolador,2/5/2017,Spanish
Be Thou My Vision,2/5/2017,English
Praise to the Lord Almighty,2/12/2017,English
Relentless,2/12/2017,Both
From the Inside Out,2/12/2017,Spanish
Psalm 100,2/12/2017,Spanish
A Mighty Fortress,2/12/2017,Both
Take My Life,2/12/2017,Both
How Great Thou Art,2/19/2017,Both
Jesus Paid It All,2/19/2017,English
It Is Well,2/19/2017,Both
"Man of Sorrows (Hallelujah, What a Savior)",2/19/2017,Both
Soon,2/19/2017,English
Conmigo Est‡s,2/19/2017,Spanish
Praise to the Lord Almighty,2/26/2017,English
Behold Our God,2/26/2017,Spanish
"Holy, Holy, Holy",2/26/2017,Spanish
Before the Throne,2/26/2017,English
Oceans,2/26/2017,English
Eternamente Exaltado,2/26/2017,Spanish
Eres El Camino,3/5/2017,Spanish
Beautiful,3/5/2017,Spanish
By Faith,3/5/2017,English
To You Be The Glory,3/5/2017,English
The Revelation of Jesus Christ,3/5/2017,English
Lead Me To The Cross,3/5/2017,Spanish
Dios Majestuoso,3/12/2017,Spanish
Dame Tus ojos,3/12/2017,Spanish
To You Be The Glory,3/12/2017,English
Sovereign,3/12/2017,English
"Holy, Holy, Holy",3/12/2017,Spanish
Because He Lives (Amen),3/12/2017,English